2025-07-17 01:16:14 status half-installed libtinfo6:amd64 6.4-4
2025-07-17 01:16:14 status unpacked libtinfo6:amd64 6.4-4
2025-07-17 01:16:14 install libudev1:amd64 <none> 252.36-1~deb12u1
2025-07-17 01:16:14 status half-installed libudev1:amd64 252.36-1~deb12u1
2025-07-17 01:16:14 status unpacked libudev1:amd64 252.36-1~deb12u1
2025-07-17 01:16:14 install libunistring2:amd64 <none> 1.0-2
2025-07-17 01:16:14 status half-installed libunistring2:amd64 1.0-2
2025-07-17 01:16:14 status unpacked libunistring2:amd64 1.0-2
2025-07-17 01:16:14 install libuuid1:amd64 <none> 2.38.1-5+deb12u3
2025-07-17 01:16:14 status half-installed libuuid1:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:14 status unpacked libuuid1:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:14 install libxxhash0:amd64 <none> 0.8.1-1
2025-07-17 01:16:14 status half-installed libxxhash0:amd64 0.8.1-1
2025-07-17 01:16:14 status unpacked libxxhash0:amd64 0.8.1-1
2025-07-17 01:16:14 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2025-07-17 01:16:14 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2025-07-17 01:16:14 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2025-07-17 01:16:14 install login:amd64 <none> 1:4.13+dfsg1-1+deb12u1
2025-07-17 01:16:14 status half-installed login:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-17 01:16:15 status unpacked login:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-17 01:16:15 install logsave:amd64 <none> 1.47.0-2
2025-07-17 01:16:15 status half-installed logsave:amd64 1.47.0-2
2025-07-17 01:16:15 status unpacked logsave:amd64 1.47.0-2
2025-07-17 01:16:15 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-07-17 01:16:15 status half-configured mawk:amd64 1.3.4.20200120-3.1
2025-07-17 01:16:15 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-07-17 01:16:15 status half-installed mawk:amd64 1.3.4.20200120-3.1
2025-07-17 01:16:15 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-07-17 01:16:15 install mount:amd64 <none> 2.38.1-5+deb12u3
2025-07-17 01:16:15 status half-installed mount:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:15 status unpacked mount:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:15 install ncurses-base:all <none> 6.4-4
2025-07-17 01:16:15 status half-installed ncurses-base:all 6.4-4
2025-07-17 01:16:15 status unpacked ncurses-base:all 6.4-4
2025-07-17 01:16:16 install ncurses-bin:amd64 <none> 6.4-4
2025-07-17 01:16:16 status half-installed ncurses-bin:amd64 6.4-4
2025-07-17 01:16:16 status unpacked ncurses-bin:amd64 6.4-4
2025-07-17 01:16:16 install passwd:amd64 <none> 1:4.13+dfsg1-1+deb12u1
2025-07-17 01:16:16 status half-installed passwd:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-17 01:16:17 status unpacked passwd:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-17 01:16:17 upgrade perl-base:amd64 5.36.0-7+deb12u2 5.36.0-7+deb12u2
2025-07-17 01:16:17 status half-configured perl-base:amd64 5.36.0-7+deb12u2
2025-07-17 01:16:17 status unpacked perl-base:amd64 5.36.0-7+deb12u2
2025-07-17 01:16:17 status half-installed perl-base:amd64 5.36.0-7+deb12u2
2025-07-17 01:16:19 status unpacked perl-base:amd64 5.36.0-7+deb12u2
2025-07-17 01:16:20 install sed:amd64 <none> 4.9-1
2025-07-17 01:16:20 status half-installed sed:amd64 4.9-1
2025-07-17 01:16:20 status unpacked sed:amd64 4.9-1
